"","gu","day","value"
"620","강동구",2010-09-12,4
"621","강동구",2010-09-13,3
"622","강동구",2010-09-14,3
"623","강동구",2010-09-15,5
"624","강동구",2010-09-16,3
"625","강동구",2010-09-17,4
"626","강동구",2010-09-18,4
"627","강동구",2010-09-19,6
"628","강동구",2010-09-20,3
"629","강동구",2010-09-21,2
"630","강동구",2010-09-22,4
"631","강동구",2010-09-23,4
"632","강동구",2010-09-24,2
"633","강동구",2010-09-25,3
"634","강동구",2010-09-26,4
"635","강동구",2010-09-27,0
"636","강동구",2010-09-28,3
"637","강동구",2010-09-29,2
"638","강동구",2010-09-30,5
"639","강동구",2010-10-01,2
"640","강동구",2010-10-02,9
"641","강동구",2010-10-03,10
"642","강동구",2010-10-04,4
"643","강동구",2010-10-05,3
"644","강동구",2010-10-06,8
"645","강동구",2010-10-07,4
"646","강동구",2010-10-08,3
"647","강동구",2010-10-09,3
"648","강동구",2010-10-10,2
"649","강동구",2010-10-11,6
"650","강동구",2010-10-12,4
"651","강동구",2010-10-13,7
"652","강동구",2010-10-14,5
"653","강동구",2010-10-15,7
"654","강동구",2010-10-16,3
"655","강동구",2010-10-17,2
"656","강동구",2010-10-18,6
"657","강동구",2010-10-19,4
"658","강동구",2010-10-20,6
"659","강동구",2010-10-21,2
"660","강동구",2010-10-22,2
"661","강동구",2010-10-23,2
"662","강동구",2010-10-24,2
"663","강동구",2010-10-25,6
"664","강동구",2010-10-26,3
"665","강동구",2010-10-27,8
"666","강동구",2010-10-28,1
"667","강동구",2010-10-29,7
"668","강동구",2010-10-30,5
"669","강동구",2010-10-31,2
"670","강동구",2010-11-01,2
"671","강동구",2010-11-02,4
"672","강동구",2010-11-03,5
"673","강동구",2010-11-04,2
"674","강동구",2010-11-05,5
"675","강동구",2010-11-06,7
"676","강동구",2010-11-07,3
"677","강동구",2010-11-08,4
"678","강동구",2010-11-09,4
"679","강동구",2010-11-10,5
"680","강동구",2010-11-11,6
"681","강동구",2010-11-12,6
"682","강동구",2010-11-13,7
"683","강동구",2010-11-14,2
"684","강동구",2010-11-15,1
"685","강동구",2010-11-16,1
"686","강동구",2010-11-17,3
"687","강동구",2010-11-18,4
"688","강동구",2010-11-19,4
"689","강동구",2010-11-20,3
"690","강동구",2010-11-21,2
"691","강동구",2010-11-22,5
"692","강동구",2010-11-23,3
"693","강동구",2010-11-24,3
"694","강동구",2010-11-25,3
"695","강동구",2010-11-26,4
"696","강동구",2010-11-27,2
"697","강동구",2010-11-28,5
"698","강동구",2010-11-29,4
"699","강동구",2010-11-30,4
"700","강동구",2010-12-01,3
"701","강동구",2010-12-02,5
"702","강동구",2010-12-03,1
"703","강동구",2010-12-04,2
"704","강동구",2010-12-05,3
"705","강동구",2010-12-06,3
"706","강동구",2010-12-07,3
"707","강동구",2010-12-08,5
"708","강동구",2010-12-09,4
"709","강동구",2010-12-10,5
"710","강동구",2010-12-11,3
"711","강동구",2010-12-12,4
"712","강동구",2010-12-13,3
"713","강동구",2010-12-14,4
"714","강동구",2010-12-15,0
"715","강동구",2010-12-16,2
"716","강동구",2010-12-17,4
"717","강동구",2010-12-18,3
"718","강동구",2010-12-19,4
"719","강동구",2010-12-20,1
"720","강동구",2010-12-21,3
"721","강동구",2010-12-22,5
"722","강동구",2010-12-23,6
"723","강동구",2010-12-24,5
"724","강동구",2010-12-25,2
"725","강동구",2010-12-26,7
"726","강동구",2010-12-27,3
"727","강동구",2010-12-28,4
"728","강동구",2010-12-29,2
"729","강동구",2010-12-30,0
"730","강동구",2010-12-31,5
"731","강북구",2010-01-01,3
"732","강북구",2010-01-02,1
"733","강북구",2010-01-03,4
"734","강북구",2010-01-04,2
"735","강북구",2010-01-05,2
"736","강북구",2010-01-06,1
"737","강북구",2010-01-07,3
"738","강북구",2010-01-08,2
"739","강북구",2010-01-09,2
"740","강북구",2010-01-10,3
"741","강북구",2010-01-11,0
"742","강북구",2010-01-12,2
"743","강북구",2010-01-13,3
"744","강북구",2010-01-14,4
"745","강북구",2010-01-15,7
"746","강북구",2010-01-16,3
"747","강북구",2010-01-17,5
"748","강북구",2010-01-18,2
